id,name,party,constituency
409,Mwalimu Simfukwe,Patriotic Front (PF),Mbala
5767,Joyce Simukoko,Patriotic Front (PF),Nominated
411,Edgar Sing’ombe,United Party for National Development (UPND),Dundumwenzi
5572,Sitwala Morgan Sitwala,United Party for National Development (UPND),Kaoma
5697,Jacob Siwale,Patriotic Front (PF),Mafinga
5700,Yizukanji Siwanzi,Patriotic Front (PF),Nakonde
5432,Mbololwa Subulwa,Independent (Independent),Sioma
5751,Godfridah Sumaili,Patriotic Front (PF),Nominated
4233,Douglas Syakalima,United Party for National Development (UPND),Chirundu
5591,Brenda Tambatamba,United Party for National Development (UPND),Kasempa
5398,Salatiel Tembo,Patriotic Front (PF),Chadiza
5428,Listed Tembo,Patriotic Front (PF),Kaumbwe
5480,Masauso Tembo,Independent (Independent),Sinda
5508,Dennis Wanchinga,Patriotic Front (PF),Mambilima
427,Inonge Wina,Patriotic Front (PF),Not Applicable
429,Christopher Yaluma,Patriotic Front (PF),Malole
5423,Gerald Zimba,Patriotic Front (PF),Chasefu
5426,Makebi Zulu,Patriotic Front (PF),Malambo
432,Charles Zulu,Patriotic Front (PF),Luangeni
